Time (s)	X (km)	Y (km)	Z (km)	vx (km)	vy (km)	vz (km)
3734374.925205262378	-120135708.035417497158	78733547.125085800886	34166949.412995241582	-16.908113430910	-22.678098194621	-9.886174856720
3739171.706488328986	-120216740.295452922583	78624757.811758831143	34119521.333436205983	-16.878010007085	-22.681180539274	-9.888776032991
3743968.487771395594	-120297628.530678153038	78515953.973749890924	34072080.910571061075	-16.848063103586	-22.684154536385	-9.891321453059
3748765.269054462202	-120378373.495876416564	78407136.126008436084	34024628.410386711359	-16.818274380982	-22.687022179256	-9.893811728984
3753562.050337528810	-120458975.953755214810	78298304.773858144879	33977164.095906734467	-16.788645482600	-22.689785488031	-9.896247484278
3758358.831620595418	-120539436.674862280488	78189460.412867844105	33929688.227136172354	-16.759178033988	-22.692446509847	-9.898629354001
3762182.136208317243	-120603467.407695680857	78102696.340713545680	33891839.185098744929	-16.735807519883	-22.694495622468	-9.900489677990
3762182.136208317243	-120603467.407695695758	78102696.340713545680	33891839.185098752379	-16.736686626887	-22.700085482117	-9.902580638562
3762182.136216222774	-120603467.407828018069	78102696.340534090996	33891839.185020469129	-16.736686626839	-22.700085482121	-9.902580638566
3762182.136232034303	-120603467.408092647791	78102696.340175166726	33891839.184863895178	-16.736686626742	-22.700085482130	-9.902580638573
3762182.136263656896	-120603467.408621907234	78102696.339457333088	33891839.184550747275	-16.736686626549	-22.700085482146	-9.902580638589
3762182.136326902546	-120603467.409680426121	78102696.338021650910	33891839.183924451470	-16.736686626164	-22.700085482180	-9.902580638619
3762182.136453393847	-120603467.411797463894	78102696.335150286555	33891839.182671859860	-16.736686625392	-22.700085482247	-9.902580638680
3762182.136706375983	-120603467.416031554341	78102696.329407572746	33891839.180166684091	-16.736686623849	-22.700085482380	-9.902580638802
3762182.137212340254	-120603467.424499720335	78102696.317922130227	33891839.175156332552	-16.736686620763	-22.700085482647	-9.902580639046
3762182.138224269263	-120603467.441436052322	78102696.294951260090	33891839.165135622025	-16.736686614592	-22.700085483181	-9.902580639534
3762182.140248126816	-120603467.475308731198	78102696.249009519815	33891839.145094208419	-16.736686602248	-22.700085484249	-9.902580640510
3762182.144295842387	-120603467.543054074049	78102696.157126039267	33891839.105011381209	-16.736686577561	-22.700085486385	-9.902580642462
3762182.152391273063	-120603467.678544759750	78102695.973359063268	33891839.024845726788	-16.736686528187	-22.700085490657	-9.902580646365
3762182.168582134880	-120603467.949526131153	78102695.605825126171	33891838.864514410496	-16.736686429438	-22.700085499202	-9.902580654172
3762182.200963858049	-120603468.491488873959	78102694.870757237077	33891838.543851785362	-16.736686231941	-22.700085516290	-9.902580669786
3762182.265727304388	-120603469.575414344668	78102693.400621458888	33891837.902526527643	-16.736685836947	-22.700085550467	-9.902580701014
3762182.395254197530	-120603471.743265211582	78102690.460349902511	33891836.619876012206	-16.736685046959	-22.700085618821	-9.902580763469
3762182.654307983350	-120603476.078966632485	78102684.579806759953	33891834.054574958980	-16.736683466982	-22.700085755528	-9.902580888379
3762183.172415554989	-120603484.750368252397	78102672.818720370531	33891828.923972755671	-16.736680307032	-22.700086028942	-9.902581138200
3762184.208630698733	-120603502.093166559935	78102649.296547174454	33891818.662767961621	-16.736673987136	-22.700086575766	-9.902581637839
3762186.281060986221	-120603536.778743550181	78102602.252199098468	33891798.140356816351	-16.736661347367	-22.700087669402	-9.902582637110
3762190.425921560731	-120603606.149818927050	78102508.163496136665	33891757.095528312027	-16.736636067923	-22.700089856618	-9.902584635623
3762198.715642710216	-120603744.891655355692	78102319.986063033342	33891675.005846455693	-16.736585509405	-22.700094230834	-9.902588632532
3762215.295085009187	-120604022.374070867896	78101943.631088033319	33891510.826383352280	-16.736484393851	-22.700102978402	-9.902596625883
3762248.453969607130	-120604577.333872660995	78101190.920702993870	33891182.467059589922	-16.736282168671	-22.700120470074	-9.902612610718
3762314.771738803014	-120605687.233360201120	78099685.498193293810	33890525.746822148561	-16.735877742027	-22.700155439574	-9.902644572922
3762447.407277194783	-120607906.951878517866	78096674.646219655871	33889212.299989938736	-16.735068983617	-22.700225323211	-9.902708467467
3762712.678353977855	-120612346.067146793008	78090652.914489671588	33886585.380914650857	-16.733451846416	-22.700364869198	-9.902836137163
3763243.220507544000	-120621223.011079981923	78078609.340172603726	33881331.441268339753	-16.730219091384	-22.700643077308	-9.903090999380
3764304.304814676289	-120638971.756297394633	78054521.750294536352	33870823.157172977924	-16.723759665914	-22.701195968343	-9.903598818391
3765365.389121808577	-120656713.651829719543	78030433.576237827539	33860314.335584051907	-16.717308366753	-22.701744178741	-9.904104103086
3767487.557736073155	-120692176.928381413221	77982255.495379596949	33839295.090658083558	-16.704430212009	-22.702826652028	-9.905107099639
3769609.726350337733	-120727612.909990638494	77934075.136929169297	33818273.727875389159	-16.691584755922	-22.703890686578	-9.906100049540
3773854.063578867353	-120798403.266763985157	77837707.742559731007	33776224.733634509146	-16.665992450496	-22.705964201968	-9.908056053555
3778098.400807396974	-120869085.281608536839	77741331.699682623148	33734167.521347485483	-16.640532463301	-22.707966259647	-9.909972607823
3782342.738035926595	-120939659.518251851201	77644947.308303952217	33692102.257394410670	-16.615205792971	-22.709898409939	-9.911850212030
3787139.519318993203	-121019290.695802345872	77536007.818114727736	33644552.281887583435	-16.586744306940	-22.711999868436	-9.913925957738
3791936.300602059811	-121098785.764041006565	77427058.452482506633	33596992.465767264366	-16.558455755787	-22.714016321776	-9.915953343656
3796733.081885126419	-121178145.555801436305	77318099.613628819585	33549423.039201542735	-16.530341512431	-22.715950079740	-9.917933123570
3801529.863168193027	-121257370.910442039371	77209131.692634835839	33501844.228715006262	-16.502402924337	-22.717803477484	-9.919866062838
3806326.644451259635	-121336462.673722401261	77100155.069319665432	33454256.257133170962	-16.474641312878	-22.719578875500	-9.921752938424
3810149.949038981460	-121399408.152984336019	77013288.582642480731	33416319.551542617381	-16.452641358521	-22.720939698163	-9.923224420842
3810149.949038981460	-121399408.152984336019	77013288.582642495632	33416319.551542609930	-16.452891889555	-22.726440440743	-9.925379262294
3810149.949046886992	-121399408.153114408255	77013288.582462832332	33416319.551464144140	-16.452891889509	-22.726440440745	-9.925379262297
